cv_number,mod_date,pub_date,cvss,cwe_code,cwe_name,summary,base_score,base_severity
CVE-2024-32435,2024-04-15T13:15Z,2024-04-15T09:15Z,,,,,,
CVE-2024-32436,2024-04-15T13:15Z,2024-04-15T09:15Z,,,,,,
CVE-2024-32437,2024-04-15T13:15Z,2024-04-15T09:15Z,,,,,,
CVE-2024-32438,2024-04-15T13:15Z,2024-04-15T08:15Z,,,,,,
CVE-2024-32439,2024-04-15T13:15Z,2024-04-15T08:15Z,,,,,,
CVE-2024-3244,2024-04-10T13:23Z,2024-04-09T19:15Z,,,,,,
CVE-2024-32440,2024-04-15T13:15Z,2024-04-15T08:15Z,,,,,,
CVE-2024-32441,2024-04-15T13:15Z,2024-04-15T08:15Z,,,,,,
CVE-2024-32442,2024-04-15T13:15Z,2024-04-15T08:15Z,,,,,,
CVE-2024-32443,2024-04-15T13:15Z,2024-04-15T08:15Z,,,,,,
CVE-2024-32445,2024-04-15T13:15Z,2024-04-15T08:15Z,,,,,,
CVE-2024-32446,2024-04-15T13:15Z,2024-04-15T08:15Z,,,,,,
CVE-2024-32447,2024-04-15T13:15Z,2024-04-15T08:15Z,,,,,,
CVE-2024-32448,2024-04-15T13:15Z,2024-04-15T08:15Z,,,,,,
CVE-2024-32449,2024-04-15T13:15Z,2024-04-15T08:15Z,,,,,,
CVE-2024-3245,2024-04-08T18:49Z,2024-04-06T03:15Z,,,,,,
CVE-2024-32450,2024-04-15T13:15Z,2024-04-15T08:15Z,,,,,,
CVE-2024-32451,2024-04-15T13:15Z,2024-04-15T08:15Z,,,,,,
CVE-2024-32452,2024-04-15T13:15Z,2024-04-15T08:15Z,,,,,,
CVE-2024-32453,2024-04-15T13:15Z,2024-04-15T07:15Z,,,,,,
CVE-2024-32454,2024-04-15T13:15Z,2024-04-15T07:15Z,,,,,,
CVE-2024-32455,2024-04-17T12:48Z,2024-04-16T19:15Z,,,,,,
CVE-2024-32456,2024-04-17T12:48Z,2024-04-17T10:15Z,,,,,,
CVE-2024-32457,2024-04-17T12:48Z,2024-04-17T10:15Z,,,,,,
CVE-2024-32458,2024-04-23T12:52Z,2024-04-22T21:15Z,,,,,,
CVE-2024-32459,2024-04-23T12:52Z,2024-04-22T22:15Z,,,,,,
CVE-2024-32460,2024-04-23T12:52Z,2024-04-22T22:15Z,,,,,,
CVE-2024-32461,2024-04-23T12:52Z,2024-04-22T22:15Z,,,,,,
CVE-2024-32462,2024-05-01T18:15Z,2024-04-18T18:15Z,,,,,,
CVE-2024-32463,2024-04-17T16:51Z,2024-04-17T16:15Z,,,,,,
CVE-2024-32466,2024-04-18T18:25Z,2024-04-18T15:15Z,,,,,,
CVE-2024-32467,2024-04-25T17:24Z,2024-04-25T17:15Z,,,,,,
CVE-2024-3247,2024-04-03T12:38Z,2024-04-02T23:15Z,,,,,,
CVE-2024-32470,2024-04-18T18:25Z,2024-04-18T15:15Z,,,,,,
CVE-2024-32472,2024-04-18T13:04Z,2024-04-17T22:15Z,,,,,,
CVE-2024-32473,2024-04-19T13:10Z,2024-04-18T22:15Z,,,,,,
CVE-2024-32474,2024-04-19T13:10Z,2024-04-18T20:15Z,,,,,,
CVE-2024-32475,2024-04-18T18:25Z,2024-04-18T15:15Z,,,,,,
CVE-2024-32477,2024-04-19T13:10Z,2024-04-18T20:15Z,,,,,,
CVE-2024-32478,2024-04-19T16:19Z,2024-04-19T15:15Z,,,,,,
CVE-2024-32479,2024-04-23T12:52Z,2024-04-22T22:15Z,,,,,,
CVE-2024-3248,2024-04-03T12:38Z,2024-04-02T23:15Z,,,,,,
CVE-2024-32480,2024-04-23T12:52Z,2024-04-22T23:15Z,,,,,,
CVE-2024-32481,2024-04-25T17:24Z,2024-04-25T17:15Z,,,,,,
CVE-2024-32482,2024-04-24T13:39Z,2024-04-23T18:15Z,,,,,,
CVE-2024-32487,2024-05-01T18:15Z,2024-04-13T15:15Z,,,,,,
CVE-2024-32488,2024-04-15T13:15Z,2024-04-15T06:15Z,,,,,,
CVE-2024-32489,2024-04-15T13:15Z,2024-04-15T06:15Z,,,,,,
CVE-2024-32491,2024-04-30T13:11Z,2024-04-29T17:15Z,,,,,,
CVE-2024-32492,2024-04-30T13:11Z,2024-04-29T17:15Z,,,,,,
CVE-2024-32493,2024-04-30T13:11Z,2024-04-29T17:15Z,,,,,,
CVE-2024-3250,2024-04-04T22:15Z,2024-04-04T15:15Z,,,,,,
CVE-2024-32505,2024-04-17T12:48Z,2024-04-17T10:15Z,,,,,,
CVE-2024-32506,2024-04-17T12:48Z,2024-04-17T08:15Z,,,,,,
CVE-2024-32508,2024-04-17T12:48Z,2024-04-17T10:15Z,,,,,,
CVE-2024-32509,2024-04-17T12:48Z,2024-04-17T08:15Z,,,,,,
CVE-2024-3251,2024-04-11T01:25Z,2024-04-03T10:15Z,,,,,,
